Heure de Debut,Heure de Fin,Resume,Lieu,Groupe
2021-11-17 15:00:00,2021-11-17 17:00:00,Communication,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-11-12 12:30:00,2021-11-12 14:30:00,Réseaux locaux et équipements actifs,RT-Amphi,RT1-S1
2021-11-25 09:15:00,2021-11-25 11:15:00,Réseaux cellulaires,RT-Salle-TD4,RT2Hamming RT2Dijkstra
2021-09-13 08:15:00,2021-09-13 10:15:00,Initiation réseaux,"RT-Salle-TD1,RT-Labo Informatique 3",TDBell
2021-10-07 08:15:00,2021-10-07 10:15:00,Réseaux opérateurs SM,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-09-08 06:15:00,2021-09-08 08:15:00,Anglais général,RT-Salle-TD2,RT1Shannon1 RT1Turing
2021-09-21 06:15:00,2021-09-21 08:15:00,Anglais,RT-Salle-TD4,RT2Dijkstra
2021-10-19 06:15:00,2021-10-19 08:15:00,Principes et architecture des réseaux,RT-Salle Labo Visio,RT1App
2021-09-08 12:00:00,2021-09-08 14:00:00,Initiation réseaux,"RT-Salle-TD1,RT-Labo Informatique 3",TDBell
2022-01-25 07:15:00,2022-01-25 09:15:00,Administration système,RT-Labo Informatique 3,RT1Huffman RT1Shannon2
2021-09-23 06:15:00,2021-09-23 08:15:00,Anglais général,RT-Salle Labo Visio,RT1App
2021-12-01 09:15:00,2021-12-01 11:15:00,Anglais général,RT-Labo Informatique 3,RT1Shannon2 RT1Shannon1
2022-01-19 13:00:00,2022-01-19 17:00:00,SAE14: Se présenter sur Internet,RT-Labo Informatique 3,RT1Shannon1 RT1Shannon2
2021-10-11 12:00:00,2021-10-11 14:00:00,Technologies d'accès,RT-Labo Telecoms 1,RT2App
2021-11-26 12:30:00,2021-11-26 16:30:00,Gestion d'annuaires unifiés,RT-Labo Informatique 1,RT2Dijkstra
2021-09-29 12:00:00,2021-09-29 16:00:00,Initiation réseaux,RT-Labo reseaux 1,RT1Huffman
2021-12-09 07:30:00,2021-12-09 09:00:00,DS TP Infrastructure sans fil,RT-Labo Telecoms 1,RT2Hamming
2022-02-09 15:00:00,2022-02-09 17:00:00,Analyse mathématique des signaux,RT-Salle Labo Visio,RT1App
2022-01-10 07:15:00,2022-01-10 11:15:00,Réseaux opérateurs MR,RT-Labo reseaux 1,RT2Dijkstra
2022-01-05 12:30:00,2022-01-05 16:15:00,Gestion - Analyse des coûts,RT-Salle-TD4,
2021-10-26 06:15:00,2021-10-26 08:15:00,Réseaux opérateurs SM,RT-Salle-TD4,RT2Dijkstra RT2Hamming
2021-12-15 13:00:00,2021-12-15 17:00:00,SAE12: Réseaux,RT-Labo Informatique 3,RT1Shannon1 RT1Shannon2
2022-01-27 09:15:00,2022-01-27 11:15:00,Anglais Technique,RT-Salle-TD2,TDFourier TDFourier
2021-12-02 12:30:00,2021-12-02 14:30:00,Infrastructure sans fil,RT-Salle-TD3,RT2App
2022-01-12 14:30:00,2022-01-12 16:30:00,DS Mathématiques des transmissions,RT-Salle Labo Visio,RT1App
2021-10-11 14:00:00,2021-10-11 16:00:00,Mathématiques des transmissions,"RT-Amphi,RT-Salle-TD2,RT-Salle-TD1",RT1-S1
2021-09-09 08:15:00,2021-09-09 10:15:00,Initiation réseaux,"RT-Salle-TD1,RT-Labo Informatique 3",TDBell
2022-01-07 12:30:00,2022-01-07 14:30:00,TP Maintien de la disponibilité,RT-Salle-TD4,
2022-01-06 08:15:00,2022-01-06 11:15:00,Transmission large bande,RT-Labo Informatique 1,RT2Dijkstra
2022-01-07 14:30:00,2022-01-07 16:30:00,TP Maintien de la disponibilité,RT-Salle-TD4,
2021-11-09 13:00:00,2021-11-09 16:00:00,Principes et architecture des réseaux,RT-Labo reseaux 2,RT1Turing
2021-12-14 07:15:00,2021-12-14 11:15:00,SAE12: Réseaux,RT-Labo Informatique 3,RT1Shannon1 RT1Shannon2
2022-02-14 09:15:00,2022-02-14 11:15:00,Sources de données,RT-Salle Labo Visio,RT1App
2021-09-22 12:00:00,2021-09-22 14:00:00,Réseaux opérateurs,"RT-Amphi,RT-Salle-TD4",RT2App RT2Hamming RT2Dijkstra
